,Unnamed: 0,Unnamed: 0.1,Category,Link,Site
0,0,0,MOBILES TABLETS & LAPTOPS,https://hummart.com/mobile-computer-accessories,Hum Mart
1,1,1,ELECTRONIC ACCESSORIES,https://hummart.com/electronic-accessories,Hum Mart
2,2,2,PHARMACY,https://hummart.com/pharmacy,Hum Mart
3,3,3,NOODLES SAUCES & FROZEN FOODS,https://hummart.com/noodles-sauces-instant-food,Hum Mart
4,4,4,HOUSEHOLD NEEDS,https://hummart.com/household-needs,Hum Mart
5,5,5,BABY & KIDS,https://hummart.com/baby-kids,Hum Mart
7,8,8,Biscuits Snacks Chocolates,https://hummart.com/biscuits-snacks-chocolates,Hum Mart
8,9,9,Grocery & Staples,https://hummart.com/grocery-and-staples,Hum Mart
9,10,10,Beverages,https://hummart.com/beverages,Hum Mart
10,11,11,Home Kitchen,https://hummart.com/home-kitchen,Hum Mart
11,12,12,Frunishing Home Needs,https://hummart.com/furnishing-home-needs,Hum Mart
12,13,13,Personal Care,https://hummart.com/personal-care,Hum Mart
13,14,14,Pet Care,https://hummart.com/pet-care,Hum Mart
14,15,15,Offers,https://hummart.com/offers,Hum Mart
15,16,16,Ice Creams,https://hummart.com/ice-creams,Hum Mart
